Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\101_1.wsq: is A; nn: hyp W, conf 0.99; conup y; hyp W, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\106_4.wsq: is A; nn: hyp R, conf 0.95; conup n; hyp R, conf 0.95; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\106_5.wsq: is A; nn: hyp R, conf 1.00; conup n; hyp R, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\106_6.wsq: is A; nn: hyp W, conf 0.42; conup n; hyp W, conf 0.42; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\106_7.wsq: is A; nn: hyp R, conf 0.95; conup n; hyp R, conf 0.95; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\106_8.wsq: is A; nn: hyp R, conf 0.93; conup n; hyp R, conf 0.93; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\107_1.wsq: is A; nn: hyp L, conf 0.85; conup n; hyp L, conf 0.85; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\107_2.wsq: is A; nn: hyp L, conf 0.96; conup n; hyp L, conf 0.96; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\107_3.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\107_4.wsq: is A; nn: hyp L, conf 0.66; conup n; hyp L, conf 0.66; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\107_5.wsq: is A; nn: hyp W, conf 0.56; conup n; hyp W, conf 0.56; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\107_6.wsq: is A; nn: hyp L, conf 0.94; conup n; hyp L, conf 0.94; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\107_7.wsq: is A; nn: hyp R, conf 0.36; conup n; hyp R, conf 0.36; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\107_8.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\108_1.wsq: is A; nn: hyp R, conf 0.91; conup n; hyp R, conf 0.91; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\108_2.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\108_3.wsq: is A; nn: hyp W, conf 0.36; conup n; hyp W, conf 0.36; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\108_4.wsq: is A; nn: hyp R, conf 1.00; conup n; hyp R, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\108_5.wsq: is A; nn: hyp W, conf 0.40; conup n; hyp W, conf 0.40; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\108_6.wsq: is A; nn: hyp R, conf 0.71; conup n; hyp R, conf 0.71; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\108_7.wsq: is A; nn: hyp L, conf 0.46; conup n; hyp L, conf 0.46; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\108_8.wsq: is A; nn: hyp R, conf 0.70; conup n; hyp R, conf 0.70; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\109_1.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\109_2.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\109_3.wsq: is A; nn: hyp L, conf 0.81; conup n; hyp L, conf 0.81; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\109_4.wsq: is A; nn: hyp L, conf 0.49; conup n; hyp L, conf 0.49; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\109_5.wsq: is A; nn: hyp L, conf 0.98; conup n; hyp L, conf 0.98; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\109_6.wsq: is A; nn: hyp L, conf 0.73; conup n; hyp L, conf 0.73; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\109_7.wsq: is A; nn: hyp L, conf 0.34; conup n; hyp L, conf 0.34; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\109_8.wsq: is A; nn: hyp L, conf 0.62; conup n; hyp L, conf 0.62; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\110_1.wsq: is A; nn: hyp W, conf 0.89; conup y; hyp W, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\110_2.wsq: is A; nn: hyp W, conf 0.82; conup y; hyp W, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\110_3.wsq: is A; nn: hyp W, conf 0.87; conup y; hyp W, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\110_4.wsq: is A; nn: hyp W, conf 0.51; conup n; hyp W, conf 0.51; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\110_5.wsq: is A; nn: hyp W, conf 0.62; conup y; hyp W, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\110_6.wsq: is A; nn: hyp W, conf 0.38; conup n; hyp W, conf 0.38; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\110_7.wsq: is A; nn: hyp W, conf 0.91; conup y; hyp W, conf 1.00; wrong
Users\tjasa\Desktop\IBB\Assignment1\DB2_WSQ\110_8.wsq: is A; nn: hyp W, conf 0.86; conup n; hyp W, conf 0.86; wrong

pct error: 100.00

          A           L           R           S           T           W 
A     0(  0.0)   28( 35.0)   28( 35.0)    0(  0.0)    0(  0.0)   24( 30.0)
L     0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )
R     0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )
S     0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )
T     0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )
W     0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )
